turn_id,true_label,pause_duration_ms,predicted_p_eot,fires_at_threshold,response_time_ms,outcome
en__000,hold,300,0.2833,no,,correctly waited
en__000,hold,900,0.1672,no,,correctly waited
en__000,hold,800,0.3504,no,,correctly waited
en__000,eot,1371,0.4892,no,1600,"missed, falls back to 1600ms timeout"
en__001,hold,200,0.3063,no,,correctly waited
en__001,eot,1428,0.4061,no,1600,"missed, falls back to 1600ms timeout"
en__002,hold,1800,0.1943,no,,correctly waited
en__002,hold,200,0.1176,no,,correctly waited
en__002,hold,300,0.1333,no,,correctly waited
en__002,hold,500,0.4598,no,,correctly waited
en__002,hold,1800,0.4578,no,,correctly waited
en__002,hold,1600,0.4435,no,,correctly waited
en__002,eot,1371,0.7543,yes,150,"fired early, responds at 150ms"
en__003,eot,1337,0.7545,yes,150,"fired early, responds at 150ms"
en__004,hold,400,0.1457,no,,correctly waited
en__004,eot,1273,0.6801,yes,150,"fired early, responds at 150ms"
en__005,hold,400,0.1736,no,,correctly waited
en__005,eot,1301,0.5829,yes,150,"fired early, responds at 150ms"
en__006,hold,900,0.1086,no,,correctly waited
en__006,hold,400,0.1195,no,,correctly waited
en__006,eot,1297,0.4960,no,1600,"missed, falls back to 1600ms timeout"
en__007,hold,800,0.3480,no,,correctly waited
en__007,hold,200,0.3442,no,,correctly waited
en__007,hold,300,0.4126,no,,correctly waited
en__007,hold,500,0.2600,no,,correctly waited
en__007,hold,2900,0.2790,no,,correctly waited
en__007,hold,1800,0.2228,no,,correctly waited
en__007,eot,1294,0.5148,yes,150,"fired early, responds at 150ms"
en__008,hold,400,0.2550,no,,correctly waited
en__008,hold,200,0.4266,no,,correctly waited
en__008,hold,800,0.4787,no,,correctly waited
en__008,eot,1291,0.6471,yes,150,"fired early, responds at 150ms"
en__009,eot,1263,0.1916,no,1600,"missed, falls back to 1600ms timeout"
en__010,hold,400,0.1532,no,,correctly waited
en__010,eot,1309,0.3481,no,1600,"missed, falls back to 1600ms timeout"
en__011,eot,1336,0.4641,no,1600,"missed, falls back to 1600ms timeout"
en__012,hold,700,0.2105,no,,correctly waited
en__012,hold,400,0.5184,yes,,FALSE CUTOFF
en__012,eot,1436,0.4754,no,1600,"missed, falls back to 1600ms timeout"
en__013,eot,1421,0.3761,no,1600,"missed, falls back to 1600ms timeout"
en__014,hold,100,0.1099,no,,correctly waited
en__014,eot,1425,0.6249,yes,150,"fired early, responds at 150ms"
en__015,hold,500,0.1203,no,,correctly waited
en__015,eot,1351,0.4092,no,1600,"missed, falls back to 1600ms timeout"
en__016,hold,300,0.3565,no,,correctly waited
en__016,hold,300,0.3660,no,,correctly waited
en__016,eot,1282,0.6216,yes,150,"fired early, responds at 150ms"
en__017,hold,300,0.2969,no,,correctly waited
en__017,eot,1308,0.4464,no,1600,"missed, falls back to 1600ms timeout"
en__018,hold,1000,0.4561,no,,correctly waited
en__018,hold,200,0.2264,no,,correctly waited
en__018,hold,2300,0.3740,no,,correctly waited
en__018,hold,400,0.1473,no,,correctly waited
en__018,hold,200,0.2428,no,,correctly waited
en__018,eot,1350,0.6834,yes,150,"fired early, responds at 150ms"
en__019,eot,1444,0.5124,yes,150,"fired early, responds at 150ms"
en__020,hold,200,0.0877,no,,correctly waited
en__020,hold,400,0.2843,no,,correctly waited
en__020,eot,1254,0.7949,yes,150,"fired early, responds at 150ms"
en__021,eot,1416,0.4320,no,1600,"missed, falls back to 1600ms timeout"
en__022,hold,200,0.2325,no,,correctly waited
en__022,eot,1420,0.3857,no,1600,"missed, falls back to 1600ms timeout"
en__023,hold,700,0.1568,no,,correctly waited
en__023,hold,400,0.1493,no,,correctly waited
en__023,eot,1345,0.4401,no,1600,"missed, falls back to 1600ms timeout"
en__024,hold,1100,0.2840,no,,correctly waited
en__024,hold,1300,0.2670,no,,correctly waited
en__024,eot,1257,0.3127,no,1600,"missed, falls back to 1600ms timeout"
en__025,eot,1371,0.7439,yes,150,"fired early, responds at 150ms"
en__026,eot,1251,0.3236,no,1600,"missed, falls back to 1600ms timeout"
