turn_id,n_pauses,had_false_cutoff,final_response_ms
en__000,4,no,1600
en__001,2,no,1600
en__002,7,no,150
en__003,1,no,150
en__004,2,no,150
en__005,2,no,150
en__006,3,no,1600
en__007,7,no,150
en__008,4,no,150
en__009,1,no,1600
en__010,2,no,1600
en__011,1,no,1600
en__012,3,yes,1600
en__013,1,no,1600
en__014,2,no,150
en__015,2,no,1600
en__016,3,no,150
en__017,2,no,1600
en__018,6,no,150
en__019,1,no,150
en__020,3,no,150
en__021,1,no,1600
en__022,2,no,1600
en__023,3,no,1600
en__024,3,no,1600
en__025,1,no,150
en__026,1,no,1600
en__027,2,yes,150
en__028,2,no,150
en__029,3,no,150
en__030,5,no,150
en__031,1,no,150
en__032,2,no,1600
en__033,1,no,1600
en__034,2,no,150
en__035,3,no,150
en__036,3,no,1600
en__037,4,no,1600
en__038,4,no,1600
en__039,3,no,150
en__040,1,no,150
en__041,1,no,150
en__042,5,no,150
en__043,1,no,150
en__044,3,yes,1600
en__045,2,no,150
en__046,3,no,150
en__047,1,no,150
en__048,2,no,150
en__049,5,no,1600
en__050,1,no,1600
en__051,3,yes,150
en__052,3,no,1600
en__053,2,no,1600
en__054,2,no,150
en__055,1,no,1600
en__056,1,no,1600
en__057,1,no,1600
en__058,1,no,150
en__059,3,no,150
en__060,2,no,1600
en__061,3,no,1600
en__062,1,no,150
en__063,2,no,150
en__064,2,no,150
en__065,3,no,150
en__066,2,no,1600
en__067,3,no,150
en__068,3,no,150
en__069,2,no,150
en__070,7,no,150
en__071,1,no,1600
en__072,1,no,150
en__073,2,no,1600
en__074,1,no,150
en__075,1,no,150
en__076,1,no,150
en__077,3,no,1600
en__078,1,no,150
en__079,2,no,150
en__080,6,no,150
en__081,5,no,150
en__082,2,yes,150
en__083,3,no,150
en__084,1,no,150
en__085,1,no,150
en__086,3,no,150
en__087,1,no,1600
en__088,2,no,150
en__089,2,no,1600
en__090,4,no,150
en__091,8,no,150
en__092,2,no,150
en__093,5,no,1600
en__094,2,no,150
en__095,6,no,150
en__096,1,no,150
en__097,2,no,150
en__098,1,no,1600
en__099,1,no,150
