turn_id,n_pauses,had_false_cutoff,final_response_ms
hi__000,3,no,1600
hi__001,2,no,1600
hi__002,1,no,1600
hi__003,1,no,1600
hi__004,1,no,1600
hi__005,2,no,100
hi__006,3,no,100
hi__007,6,yes,100
hi__008,1,no,1600
hi__009,1,no,100
hi__010,4,no,100
hi__011,3,no,100
hi__012,6,yes,100
hi__013,1,no,100
hi__014,6,no,1600
hi__015,1,no,1600
hi__016,1,no,100
hi__017,2,no,100
hi__018,3,no,100
hi__019,5,no,1600
hi__020,2,no,100
hi__021,1,no,100
hi__022,8,no,100
hi__023,1,no,100
hi__024,1,no,100
hi__025,3,no,100
hi__026,1,no,100
hi__027,2,no,1600
hi__028,2,no,100
hi__029,4,no,100
hi__030,1,no,100
hi__031,2,no,100
hi__032,2,no,100
hi__033,3,no,1600
hi__034,3,no,100
hi__035,1,no,100
hi__036,7,yes,100
hi__037,3,no,100
hi__038,4,yes,100
hi__039,1,no,100
hi__040,3,no,1600
hi__041,2,no,1600
hi__042,2,no,100
hi__043,2,no,100
hi__044,2,no,100
hi__045,2,no,1600
hi__046,3,no,1600
hi__047,1,no,1600
hi__048,1,no,1600
hi__049,1,no,100
hi__050,1,no,100
hi__051,3,no,100
hi__052,1,no,1600
hi__053,3,no,1600
hi__054,2,no,100
hi__055,2,no,100
hi__056,1,no,100
hi__057,2,no,100
hi__058,2,no,100
hi__059,3,no,100
hi__060,2,no,100
hi__061,2,no,1600
hi__062,1,no,100
hi__063,4,no,100
hi__064,5,no,100
hi__065,1,no,100
hi__066,3,no,100
hi__067,1,no,100
hi__068,1,no,100
hi__069,6,no,100
hi__070,2,no,1600
hi__071,3,no,100
hi__072,2,no,100
hi__073,6,no,100
hi__074,2,no,100
hi__075,2,no,100
hi__076,1,no,100
hi__077,3,no,100
hi__078,4,no,100
hi__079,3,no,100
hi__080,2,no,1600
hi__081,3,no,100
hi__082,1,no,1600
hi__083,1,no,1600
hi__084,1,no,100
hi__085,3,yes,100
hi__086,2,no,1600
hi__087,3,no,100
hi__088,3,no,100
hi__089,3,no,1600
hi__090,4,no,1600
hi__091,1,no,1600
hi__092,1,no,100
hi__093,1,no,1600
hi__094,6,no,100
hi__095,2,no,100
hi__096,4,no,1600
hi__097,6,no,1600
hi__098,1,no,1600
hi__099,2,no,1600
